words,links,capital_words,spam_word_count,is_spam
734,5,20,5,1
442,4,2,10,1
98,0,8,1,0
841,4,15,9,1
219,0,0,2,0
545,7,19,3,1
958,2,2,4,1
62,0,10,2,0
218,3,12,10,1
508,5,24,8,1
604,5,23,8,1
738,7,22,8,1
141,1,1,1,0
209,1,2,0,0
160,1,1,0,0
511,3,26,5,1
884,4,5,8,1
103,10,5,7,1
26,0,0,0,0
139,8,2,0,1
170,10,2,6,1
495,5,1,5,0
379,0,3,2,0
164,9,25,6,1
532,9,15,10,1
82,3,26,9,1
181,2,1,2,0
622,7,9,1,1
159,0,1,2,0
20,2,2,0,0
48,1,0,0,0
283,2,0,1,0
34,2,1,0,0
189,5,5,7,1
460,3,15,4,1
51,1,2,0,0
39,4,0,1,0
33,1,2,2,0
183,0,2,0,0
77,2,0,0,0
406,6,13,1,1
501,7,7,5,1
677,7,28,7,1
155,2,25,8,1
678,3,22,3,1
146,1,3,2,0
123,3,2,2,0
197,9,6,3,1
269,0,1,0,0
184,6,13,3,1
283,0,2,2,0
579,9,17,7,1
178,3,20,3,1
48,3,2,0,0
257,4,3,1,0
758,2,21,3,1
178,3,1,0,0
250,10,0,4,1
92,4,5,2,0
230,3,14,7,1
322,9,22,9,1
277,1,5,2,0
198,1,3,0,0
520,9,8,10,1
156,1,1,1,0
270,0,1,1,0
487,0,2,1,0
163,0,0,2,0
265,4,2,0,0
142,8,16,1,1
343,5,0,4,1
259,10,20,7,1
68,1,3,0,0
191,10,25,3,1
872,7,1,10,1
141,10,29,5,1
719,9,2,8,1
247,5,2,1,0
610,1,8,7,1
475,1,7,7,1
511,3,15,10,1
286,3,23,3,1
830,5,29,5,1
336,3,3,4,0
260,2,10,2,0
893,1,26,8,1
252,0,2,4,0
103,1,2,1,0
757,7,19,6,1
153,5,2,6,1
64,3,27,3,1
474,8,23,6,1
288,10,21,3,1
713,5,5,8,1
299,1,2,2,0
134,1,1,3,0
491,0,2,1,0
292,1,3,0,0
86,2,3,1,0
792,6,28,7,1
82,10,8,0,1
183,0,2,0,0
242,1,1,3,0
198,1,7,3,0
118,2,3,0,0
659,2,27,3,1
164,2,0,8,1
46,1,5,1,0
119,3,5,4,1
231,8,6,7,1
195,3,12,9,1
529,2,30,9,1
290,8,6,7,1
219,1,3,1,0
629,9,21,1,1
768,7,19,3,1
947,8,23,4,1
241,2,19,3,1
912,9,5,9,1
841,2,28,8,1
159,2,1,2,0
143,4,21,2,1
279,2,0,2,0
284,2,6,1,0
896,3,17,8,1
82,5,21,0,1
703,4,6,10,1
239,0,4,2,0
30,1,2,2,0
573,5,27,4,1
30,0,0,2,0
194,2,3,3,0
241,2,5,4,1
986,5,27,5,1
291,1,3,1,0
92,3,17,5,1
625,3,2,10,1
187,0,8,2,0
169,0,0,2,0
215,1,1,0,0
278,2,3,0,0
336,2,9,9,1
250,3,7,0,0
183,1,23,3,1
254,0,1,2,0
226,3,19,4,1
245,4,16,0,1
83,1,1,0,0
375,1,6,1,0
177,0,0,0,0
855,7,22,4,1
328,2,23,3,1
67,1,0,4,0
199,2,22,4,1
761,3,8,4,1
197,7,0,10,1
243,1,3,0,0
134,0,2,5,0
459,2,7,8,1
707,9,17,8,1
691,7,26,10,1
288,2,2,2,0
911,3,18,8,1
127,2,2,5,0
120,3,20,4,1
943,10,7,7,1
682,3,13,10,1
933,3,29,4,1
128,5,4,3,1
560,5,0,4,1
121,0,17,4,1
721,3,27,3,1
985,3,10,3,1
952,8,27,5,1
290,0,0,2,0
35,5,1,1,0
130,3,3,1,0
156,3,11,6,1
299,2,6,7,1
53,3,8,4,1
170,5,21,6,1
92,3,29,10,1
827,0,26,2,1
844,10,8,1,1
678,9,14,8,1
96,1,10,1,0
583,2,10,6,1
36,0,3,2,0
278,5,2,0,0
704,5,30,2,1
875,2,21,7,1
429,2,1,2,0
195,2,28,3,1
79,4,20,3,1
150,2,10,1,0
100,0,2,6,0
427,1,1,5,0
139,1,0,3,0
120,7,5,2,1
185,3,3,3,0
56,0,8,1,0
160,3,2,9,1
503,10,13,3,1
212,0,3,3,0
749,4,1,10,1
255,2,1,2,0
425,1,2,0,0
217,2,30,7,1
258,2,0,0,0
137,7,3,1,1
116,2,5,0,0
615,2,14,4,1
137,4,2,0,0
115,6,20,3,1
291,3,0,6,0
405,9,1,4,1
73,2,4,1,0
250,1,3,2,0
47,3,1,5,0
116,9,28,9,1
399,0,3,2,0
195,1,2,2,0
271,2,2,0,0
96,2,3,2,0
295,2,2,1,0
393,5,8,10,1
298,2,6,1,0
159,6,19,7,1
245,1,5,5,1
172,3,2,2,0
218,2,2,1,0
837,7,26,3,1
162,5,5,9,1
578,9,21,10,1
197,0,3,0,0
162,2,3,5,0
223,0,0,0,0
143,0,4,0,0
314,0,2,0,0
89,4,29,3,1
364,0,1,0,0
429,9,27,9,1
374,10,30,5,1
51,0,2,2,0
202,1,1,2,0
849,2,8,1,1
133,0,0,1,0
193,4,1,2,0
646,4,5,7,1
173,5,1,2,0
142,3,26,9,1
277,1,2,4,0
270,1,3,0,0
863,2,22,10,1
250,1,4,1,0
166,2,0,1,0
193,10,7,4,1
44,0,0,6,0
97,2,2,0,0
120,5,15,5,1
784,2,5,10,1
860,9,13,10,1
33,2,1,1,0
178,1,2,2,0
150,2,3,1,0
211,5,3,1,0
223,1,3,1,0
101,0,1,6,0
193,1,3,1,0
79,0,3,2,0
78,1,3,1,0
28,1,2,0,0
197,0,1,6,0
543,10,9,8,1
824,2,20,4,1
104,3,3,8,1
326,3,10,5,0
938,5,30,7,1
163,6,23,3,1
768,5,18,3,1
293,1,3,0,0
127,2,10,1,0
491,1,10,3,0
567,3,1,9,1
213,7,7,2,1
356,10,3,9,1
446,1,0,2,0
349,3,6,10,1
224,1,6,2,0
484,0,28,4,1
418,7,20,3,1
951,8,8,6,1
26,1,2,3,0
228,1,0,2,0
97,1,2,0,0
475,4,15,8,1
54,1,6,0,0
205,4,3,3,1
179,4,1,2,0
811,8,27,10,1
836,1,24,8,1
984,6,20,4,1
159,3,0,2,0
274,2,0,2,0
476,8,18,9,1
528,7,5,8,1
988,8,13,10,1
90,2,21,6,1
130,1,2,5,0
100,7,21,6,1
909,4,25,4,1
145,1,3,0,0
253,0,3,1,0
538,3,20,5,1
226,1,2,2,0
131,1,0,1,0
750,10,9,3,1
86,5,27,8,1
651,10,1,9,1
63,0,17,4,1
151,2,1,0,0
829,1,6,6,1
961,9,30,6,1
498,7,10,5,1
27,0,1,2,0
223,2,0,0,0
211,1,2,2,0
825,3,22,10,1
330,10,10,5,1
322,9,2,10,1
272,1,2,1,0
95,8,13,3,1
496,1,0,0,0
324,1,10,3,1
135,0,3,0,1
105,1,2,1,0
27,1,2,2,0
660,6,4,7,1
882,7,21,3,1
994,8,16,0,1
860,6,26,8,1
30,0,1,1,0
731,0,21,3,1
120,1,5,0,0
240,1,1,1,0
106,0,2,1,0
425,3,13,5,1
638,7,25,9,1
156,8,24,2,1
767,5,4,6,1
232,10,26,3,1
50,10,0,4,1
528,4,17,7,1
775,5,12,2,1
57,1,10,2,0
127,9,2,7,1
173,9,11,1,1
66,0,0,2,0
35,2,6,4,0
228,1,0,0,0
422,5,23,7,1
853,10,18,3,1
34,2,6,2,0
275,2,26,7,1
158,2,4,1,0
212,2,0,6,0
808,6,14,3,1
270,4,1,1,0
237,1,4,3,1
121,10,23,7,1
214,0,7,1,0
484,2,1,3,0
160,9,0,3,1
50,1,3,0,0
937,8,7,8,1
808,5,4,4,1
177,3,19,4,1
624,9,11,9,1
710,2,6,7,1
938,2,6,9,1
173,2,3,0,0
338,2,1,2,0
161,2,1,1,0
167,2,17,6,1
983,2,11,0,1
149,2,0,0,0
303,2,12,9,1
739,5,5,5,1
549,3,22,5,1
89,1,3,2,0
375,2,0,2,0
23,0,1,6,0
480,2,3,0,0
895,5,21,4,1
226,2,3,2,0
903,5,5,3,1
485,1,0,2,0
975,8,20,5,1
81,5,23,3,1
305,8,12,4,1
387,0,2,0,0
802,10,30,8,1
614,0,16,5,1
90,1,3,2,0
123,1,3,1,0
640,4,2,0,1
314,6,26,10,1
941,9,8,0,1
823,4,7,10,1
88,2,2,0,0
129,2,0,1,0
278,0,2,1,0
586,10,29,2,1
168,2,1,4,0
152,2,1,2,0
265,3,3,2,0
294,0,1,2,0
127,1,1,1,0
432,0,2,0,0
192,1,1,1,0
944,7,0,4,1
177,10,11,7,1
943,10,24,9,1
289,0,14,6,1
973,5,21,8,1
442,0,23,5,1
109,2,5,2,1
297,2,13,7,1
498,3,10,4,1
183,2,0,1,0
73,1,1,2,0
203,2,2,0,0
52,7,12,7,1
966,10,20,10,1
59,4,1,2,0
247,2,3,2,0
249,0,3,2,0
414,4,13,10,1
161,4,8,8,1
751,6,1,9,1
239,2,26,10,1
40,4,3,0,0
286,2,1,2,0
207,2,2,2,0
130,2,1,6,0
935,9,17,10,1
113,0,3,2,0
181,2,0,2,0
294,2,3,3,0
182,2,15,8,1
71,0,0,2,0
999,6,11,6,1
292,1,2,1,0
27,0,2,0,0
118,1,3,0,0
152,2,1,6,0
204,2,1,2,0
220,2,2,1,0
117,7,9,10,1
212,3,7,0,0
180,5,7,10,1
163,2,0,0,0
94,1,2,0,0
244,3,1,2,0
370,1,1,0,0
741,3,13,10,1
401,4,20,7,1
212,1,3,1,0
108,0,0,9,1
156,0,0,2,0
317,2,0,2,0
388,3,21,9,1
165,3,4,0,0
122,8,12,8,1
175,1,13,6,1
189,1,2,1,0
922,6,7,10,1
327,9,11,9,1
334,5,5,9,1
218,1,3,2,0
289,1,2,0,0
304,1,6,2,0
62,0,1,1,0
297,2,0,1,0
291,5,1,0,0
168,1,2,0,0
433,4,3,10,1
459,1,0,2,0
703,9,27,3,1
889,3,16,8,1
56,0,3,1,0
187,0,2,0,0
110,1,2,0,0
101,9,16,3,1
136,0,1,2,0
611,4,21,5,1
172,2,1,1,0
185,0,2,2,0
194,0,3,5,0
526,2,24,6,1
121,0,9,6,0
251,1,1,0,0
336,4,2,0,0
72,2,17,1,1
359,0,1,6,1
350,6,3,5,1
409,2,15,3,1
273,2,0,0,0
197,2,3,1,0
305,2,6,10,1
240,0,2,1,0
59,5,3,1,0
116,1,5,0,0
202,2,0,0,0
430,1,2,0,0
43,0,5,1,0
816,9,12,5,1
405,10,14,5,1
108,1,2,0,0
414,3,14,3,1
72,2,19,4,1
208,0,3,3,0
698,8,14,0,1
573,2,27,5,1
141,0,1,1,0
454,2,3,5,0
224,2,3,2,0
119,5,1,6,0
101,1,7,7,1
759,2,1,2,1
866,7,5,8,1
263,0,2,2,0
580,9,26,4,1
953,10,29,7,1
109,2,1,2,0
248,0,12,6,1
82,2,0,1,0
199,4,24,8,1
467,8,1,8,1
91,0,1,0,0
805,3,30,0,1
902,7,9,1,1
143,0,5,8,1
799,9,1,8,1
88,2,18,8,1
997,0,6,6,1
247,3,3,8,1
44,0,3,4,0
614,9,19,7,1
294,1,0,1,0
61,1,2,1,0
91,5,4,4,1
93,2,1,2,0
735,7,30,1,1
217,2,1,1,0
388,7,24,2,1
341,4,27,3,1
231,4,0,1,0
432,9,14,3,1
126,0,1,2,0
80,0,2,2,0
193,2,2,1,0
47,5,0,0,0
219,0,2,1,0
188,1,1,1,0
992,2,7,1,1
245,5,2,0,0
283,2,0,3,0
260,0,3,5,0
720,0,30,3,1
165,2,3,0,0
196,1,1,2,0
500,4,18,3,1
818,4,11,4,1
869,5,24,3,1
983,5,4,7,1
264,2,1,0,0
195,9,0,8,1
155,2,1,3,0
197,5,0,5,0
115,1,2,0,0
198,6,19,1,1
51,0,2,0,0
908,2,29,9,1
97,10,6,7,1
900,9,6,6,1
59,1,0,1,0
360,3,0,1,0
48,5,9,1,0
523,2,12,4,1
296,2,8,1,0
109,2,10,0,1
45,1,2,1,0
172,1,2,4,0
246,1,2,4,0
99,0,1,1,0
257,2,0,1,0
268,0,2,2,0
671,6,18,0,1
791,2,30,1,1
241,2,10,2,0
221,1,2,0,0
129,1,8,2,0
148,0,0,2,0
842,2,23,0,1
80,10,25,7,1
131,2,6,6,1
241,0,9,4,0
170,0,3,1,0
819,3,28,0,1
60,0,9,4,0
158,2,2,1,0
125,3,26,2,1
241,2,3,1,0
231,3,9,9,1
274,1,2,2,0
72,1,1,2,0
126,4,3,1,0
770,9,0,7,1
174,4,7,2,0
160,9,20,0,1
29,4,3,5,0
99,4,2,0,0
612,8,28,9,1
202,2,2,0,0
272,10,8,4,1
135,3,23,9,1
383,10,10,1,1
217,8,0,10,1
909,7,5,2,1
147,5,0,2,0
956,6,5,7,1
428,9,5,2,1
133,2,1,0,0
116,1,3,0,0
933,2,7,3,1
261,2,2,2,0
486,9,27,3,1
176,1,1,2,0
204,1,0,6,0
138,0,4,1,0
164,2,0,0,0
29,1,1,1,0
171,1,0,1,0
170,8,23,4,1
754,6,17,9,1
267,2,1,0,0
577,4,27,9,1
303,4,0,1,0
240,0,2,0,0
670,2,13,10,1
880,5,22,5,1
281,2,7,2,0
110,1,2,5,0
154,5,0,2,0
63,2,3,2,0
182,0,1,1,0
231,4,2,2,0
919,0,16,8,1
533,2,5,4,1
789,10,8,9,1
97,2,6,8,1
170,2,11,10,1
277,2,1,2,0
879,8,19,6,1
103,2,2,2,0
218,6,18,9,1
192,0,17,7,1
354,2,2,1,0
170,5,1,0,0
318,2,3,0,0
176,8,24,1,1
193,7,18,1,1
936,3,29,4,1
345,2,1,1,0
91,3,0,5,0
148,8,4,8,1
76,4,8,8,1
393,5,1,1,0
367,2,2,1,0
191,1,1,2,0
156,1,0,1,0
175,1,3,1,0
113,2,9,2,0
825,6,21,8,1
90,0,2,2,0
774,2,14,7,1
581,0,13,6,1
151,1,2,1,0
246,2,2,0,0
990,4,2,3,1
96,1,2,6,0
232,0,3,1,0
151,4,0,6,1
167,0,0,1,0
430,7,5,9,1
455,1,3,0,0
79,4,0,2,0
259,7,0,5,1
765,4,6,10,1
629,9,7,2,1
54,4,3,1,0
559,4,19,4,1
736,5,29,9,1
553,4,25,4,1
